direct_null-2441 [('original', 0, 0, 'calibration_needed'), ('candidate', 0, 0, 'calibration_needed')]
direct_null-2459 [('original', 0, 0, 'calibration_needed'), ('candidate', 0, 0, 'calibration_needed')]
dual_phase-2441 [('original', 6, 4, 'partial'), ('candidate', 6, 4, 'partial')]
dual_phase-2459 [('original', 6, 3, 'partial'), ('candidate', 6, 3, 'partial')]
dual_room-2441 [('original', 6, 2, 'partial'), ('candidate', 6, 2, 'partial')]
dual_room-2459 [('original', 6, 3, 'partial'), ('candidate', 6, 3, 'partial')]
near_reflector-2441 [('original', 7, 0, 'partial'), ('candidate', 7, 0, 'partial')]
near_reflector-2459 [('original', 7, 0, 'partial'), ('candidate', 7, 0, 'partial')]
receiver_filter-2441 [('original', 6, 0, 'partial'), ('candidate', 6, 0, 'partial')]
receiver_filter-2459 [('original', 6, 0, 'partial'), ('candidate', 6, 0, 'partial')]
single_room-2441 [('original', 6, 0, 'partial'), ('candidate', 6, 0, 'partial')]
single_room-2459 [('original', 6, 0, 'partial'), ('candidate', 6, 0, 'partial')]
measured-joint_mapper [('original', 1, 2, 'partial'), ('candidate', 1, 2, 'partial')]
measured-shuffled_geometry [('original', 0, 4, 'partial'), ('candidate', 0, 4, 'partial')]
measured-null [('original', 0, 0, 'calibration_needed'), ('candidate', 0, 0, 'calibration_needed')]
